symbol,accession,primary,protein,status,note,candidates
ADAM17,P78536,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,clean,,
AQP5,P55064,AQP5,Aquaporin-5,clean,,
ATP2B2,Q01814,ATP2B2,Plasma membrane calcium-transporting ATPase 2,resolved_primary,2 reviewed hits; exactly one primary-matches — synonym-only hits discarded,Q01814(ATP2B2); P23634(ATP2B4)
BTN3A3,O00478,BTN3A3,Butyrophilin subfamily 3 member A3,clean,,
CADM1,Q9BY67,CADM1,Cell adhesion molecule 1,clean,,
CD276,Q5ZPR3,CD276,CD276 antigen,clean,,
CD3G,P09693,CD3G,T-cell surface glycoprotein CD3 gamma chain,clean,,
CD53,P19397,CD53,Leukocyte surface antigen CD53,clean,,
CD86,P42081,CD86,T-lymphocyte activation antigen CD86,clean,,
CDCP1,Q9H5V8,CDCP1,CUB domain-containing protein 1,clean,,
CDH11,P55287,CDH11,Cadherin-11,clean,,
CLCNKB,P51801,CLCNKB,Chloride channel protein ClC-Kb,clean,,
CLDN1,O95832,CLDN1,Claudin-1,clean,,
CSF1R,P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,clean,,
CSPG5,O95196,CSPG5,Chondroitin sulfate proteoglycan 5,clean,,
CXCR5,P32302,CXCR5,C-X-C chemokine receptor type 5,clean,,
EDNRB,P24530,EDNRB,Endothelin receptor type B,clean,,
EGFR,P00533,EGFR,Epidermal growth factor receptor,clean,,
ENPP5,Q9UJA9,ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,clean,,
ENTPD1,P49961,ENTPD1,Ectonucleoside triphosphate diphosphohydrolase 1,clean,,
EPHA4,P54764,EPHA4,Ephrin type-A receptor 4,clean,,
ERBB2,P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2,clean,,
FAM171A1,Q5VUB5,FAM171A1,Protein FAM171A1,clean,,
FAT2,Q9NYQ8,FAT2,Protocadherin Fat 2,clean,,
FGFR3,P22607,FGFR3,Fibroblast growth factor receptor 3,clean,,
FLT1,P17948,FLT1,Vascular endothelial growth factor receptor 1,clean,,
FRRS1,Q6ZNA5,FRRS1,Ferric reductase 1,clean,,
GPBAR1,Q8TDU6,GPBAR1,G protein-coupled bile acid receptor 1,clean,,
GPC1,P35052,GPC1,Glypican-1,clean,,
GPR143,P51810,GPR143,G protein-coupled receptor 143,clean,,
GPR34,Q9UPC5,GPR34,Probable G protein-coupled receptor 34,clean,,
GPR65,Q8IYL9,GPR65,G protein-coupled receptor 65,clean,,
GRIN1,Q05586,GRIN1,"Glutamate receptor ionotropic, NMDA 1",clean,,
HEPACAM,Q14CZ8,HEPACAM,Hepatic and glial cell adhesion molecule,clean,,
IGF2R,P11717,IGF2R,Cation-independent mannose-6-phosphate receptor,clean,,
INSR,P06213,INSR,Insulin receptor,clean,,
ITGB5,P18084,ITGB5,Integrin beta-5,clean,,
JAG1,P78504,JAG1,Protein jagged-1,clean,,
LRFN3,Q9BTN0,LRFN3,Leucine-rich repeat and fibronectin type-III domain-containing protein 3,clean,,
LRFN4,Q6PJG9,LRFN4,Leucine-rich repeat and fibronectin type-III domain-containing protein 4,clean,,
LRP6,O75581,LRP6,Low-density lipoprotein receptor-related protein 6,clean,,
LRRN1,Q6UXK5,LRRN1,Leucine-rich repeat neuronal protein 1,resolved_primary,2 reviewed hits; exactly one primary-matches — synonym-only hits discarded,O75427(LRCH4); Q6UXK5(LRRN1)
LRRN4CL,Q8ND94,LRRN4CL,LRRN4 C-terminal-like protein,clean,,
MCOLN1,Q9GZU1,MCOLN1,Mucolipin-1,clean,,
MEP1A,Q16819,MEP1A,Meprin A subunit alpha,clean,,
MERTK,Q12866,MERTK,Tyrosine-protein kinase Mer,clean,,
MMP14,P50281,MMP14,Matrix metalloproteinase-14,clean,,
MSLN,Q13421,MSLN,Mesothelin,clean,,
MUC16,Q8WXI7,MUC16,Mucin-16,clean,,
NCAM1,P13591,NCAM1,Neural cell adhesion molecule 1,clean,,
NECTIN4,Q96NY8,NECTIN4,Nectin-4,clean,,
NOTCH2,Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,clean,,
OSMR,Q99650,OSMR,Oncostatin-M-specific receptor subunit beta,clean,,
PCDH7,O60245,PCDH7,Protocadherin-7,clean,,
PDGFRB,P09619,PDGFRB,Platelet-derived growth factor receptor beta,clean,,
PODXL,O00592,PODXL,Podocalyxin,clean,,
PTPRZ1,P23471,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta,clean,,
SCN9A,Q15858,SCN9A,Sodium channel protein type 9 subunit alpha,clean,,
SCNN1A,P37088,SCNN1A,Epithelial sodium channel subunit alpha,clean,,
SDK1,Q7Z5N4,SDK1,Protein sidekick-1,clean,,
SLC10A6,Q3KNW5,SLC10A6,Sodium-dependent organic anion transporter,clean,,
SLC12A4,Q9UP95,SLC12A4,Solute carrier family 12 member 4,clean,,
SLC12A9,Q9BXP2,SLC12A9,Solute carrier family 12 member 9,clean,,
SLC26A6,Q9BXS9,SLC26A6,Solute carrier family 26 member 6,clean,,
SLC2A9,Q9NRM0,SLC2A9,"Solute carrier family 2, facilitated glucose transporter member 9",clean,,
SLC39A6,Q13433,SLC39A6,Zinc transporter ZIP6,clean,,
SLC3A2,P08195,SLC3A2,Amino acid transporter heavy chain SLC3A2,clean,,
SLC44A3,Q8N4M1,SLC44A3,Choline transporter-like protein 3,clean,,
SLC44A4,Q53GD3,SLC44A4,Choline transporter-like protein 4,clean,,
SLC45A4,Q5BKX6,SLC45A4,Polyamine-transporter SLC45A4,clean,,
SLC52A3,Q9NQ40,SLC52A3,"Solute carrier family 52, riboflavin transporter, member 3",clean,,
SMO,Q99835,SMO,Protein smoothened,resolved_primary,2 reviewed hits; exactly one primary-matches — synonym-only hits discarded,Q9NWM0(SMOX); Q99835(SMO)
SORT1,Q99523,SORT1,Sortilin,clean,,
TLR3,O15455,TLR3,Toll-like receptor 3,clean,,
TMEM108,Q6UXF1,TMEM108,Transmembrane protein 108,clean,,
TMEM30A,Q9NV96,TMEM30A,Cell cycle control protein 50A,clean,,
TNFRSF10C,O14798,TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,clean,,
TSPAN15,O95858,TSPAN15,Tetraspanin-15,clean,,
TSPAN3,O60637,TSPAN3,Tetraspanin-3,clean,,
TSPAN9,O75954,TSPAN9,Tetraspanin-9,clean,,
UGT8,Q16880,UGT8,2-hydroxyacylsphingosine 1-beta-galactosyltransferase,clean,,
UPK1B,O75841,UPK1B,Uroplakin-1b,clean,,
